Country,Place,Start date,End date,Level,url,update,Confirmed
Serbia,Serbia,2020-03-15,,National,https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus,2020-03-30,False
Singapore,Singapore,2020-04-07,2020-06-01,National,https://www.dw.com/en/coronavirus-what-are-the-lockdown-measures-across-europe/a-52905137,2020-04-08,False
Slovakia,Slovakia,2020-03-16,2020-04-22,National,https://www.straitstimes.com/singapore/health/most-workplaces-to-close-schools-will-move-to-full-home-based-learning-from-next,2020-04-03,False
South Africa,South Africa,2020-03-26,2020-04-30,National,https://spectator.sme.sk/c/22356864/coronavirus-slovakia-crisis-staff-prevention-measures.html,2020-04-22,False
Spain,Spain,2020-03-14,2020-05-09,National,https://www.theguardian.com/world/2020/mar/23/south-africa-to-go-into-21-day-lockdown-on-thursday-night,2020-03-24,False
Switzerland,Switzerland,2020-03-17,,National,https://www.elmundo.es/espana/2020/03/13/5e6b844e21efa0dd258b45a5.html,2020-03-20,False
Thailand,Thailand,2020-03-25,2020-04-30,National,https://www.fuw.ch/article/bundesrat-ruft-den-notstand-aus/,2020-03-16,False
Trinidad and Tobago,Trinidad and Tobago,2020-03-17,2020-04-31,National,https://theaseanpost.com/article/surviving-virus-lockdown,2020-04-04,False
Tunisia,Tunisia,2020-03-22,2020-04-19,National,https://www.nationnews.com/nationnews/news/244418/trinidad-lockdown,2020-04-23,False
Turkey,Turkey(first implementation),2020-04-11,2020-04-13,National,https://www.reuters.com/article/us-health-coronavirus-tunisia-army-idUSKBN21A2EH,2020-03-23,False
Turkey,Turkey(second implementation),2020-04-23,2020-04-27,National,https://www.yahoo.com/news/turkey-imposes-48-hour-coronavirus-120902289.html,2020-04-13,False
Ukraine,Ukraine,2020-03-17,2020-04-24,National,https://www.hurriyetdailynews.com/turkey-to-impose-four-day-lockdown-154053,2020-04-23,False
United Arab Emirates,United Arab Emirates,2020-03-26,2020-04-17,National,https://www.dw.com/en/coronavirus-what-are-the-lockdown-measures-across-europe/a-52905137,2020-04-08,False
United Kingdom,United Kingdom,2020-03-23,,National,https://www.garda.com/crisis24/news-alerts/326651/uae-three-day-lockdown-scheduled-march-26-29-update-16,2020-03-30,False
United States,California,2020-03-19,,State,https://www.theguardian.com/world/2020/mar/23/boris-johnson-orders-uk-lockdown-to-be-enforced-by-police,2020-04-19,False
United States,"Clark County,NV",2020-03-20,,County,https://www.wsj.com/articles/china-reports-no-new-domestic-coronavirus-infections-for-the-first-time-since-outbreak-started-11584611233,2020-03-20,False
United States,Connecticut,2020-03-23,2020-04-22,State,https://www.dailymail.co.uk/news/article-8129667/Las-Vegas-goes-dark-Iconic-strip-deserted-Sin-City-joins-list-barren-towns.html,2020-03-20,False
United States,Illinois,2020-03-21,2020-04-30,State,https://www.nbcconnecticut.com/news/coronavirus/coronavirus-outbreak-latest-updates/2242154/,2020-03-21,False
United States,"Kansas City,KS",2020-03-24,2020-04-19,City,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-shelter-in-place-lockdown-order-20200320-teedakbfw5gvdgmnaxlel54hau-story.html,2020-03-21,False
United States,Massachusetts,2020-03-24,2020-04-07,State,https://www.cjonline.com/news/20200321/kansas-coronavirus-update-30-day-quarantine-ordered-for-kc-state-records-second-death-55-cases,2020-03-24,False
United States,Michigan,2020-03-24,2020-04-13,State,https://www.wbur.org/commonhealth/2020/03/23/baker-closes-businesses-coronavirus,2020-03-23,False
United States,New York,2020-03-20,2020-05-15,State,https://www.clickondetroit.com/news/local/2020/03/23/watch-live-michigan-gov-whitmer-to-provide-update-on-states-covid-19-response-efforts/,2020-03-23,False
United States,Oregon,2020-03-24,,State,https://edition.cnn.com/2020/03/20/politics/new-york-workforce-stay-home/index.html,2020-03-21,False
United States,Wisconsin,2020-03-24,,State,https://www.oregonlive.com/business/2020/03/oregon-governor-issues-stay-at-home-order-to-enforce-coronavirus-restrictions.html,2020-03-23,False
Venezuela,Venezuela,2020-03-17,,National,https://www.nbcchicago.com/news/coronavirus/wisconsin-governor-issues-order-closing-businesses/2243503/,2020-03-24,False
Zimbabwe,Zimbabwe,2020-03-30,2020-05-02,National,https://www.reuters.com/article/us-health-coronavirus-venezuela-maduro/venezuelas-to-implement-nationwide-quarantine-as-coronavirus-cases-rise-to-33-idUSKBN214015,2020-03-24,False
,,,,,https://www.voanews.com/science-health/coronavirus-outbreak/zimbabwe-begins-lockdown-fight-covid19,2020-03-30,False
China,Wuhan,2020-01-23,2020-04-08,City,,2020-04-23,True
China,Xiaogan,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Huanggang,2020-01-23,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Jingzhou,2020-01-24,2020-03-17,City,https://www.yicai.com/news/100550418.html,2020-03-16,True
China,Ezhou,2020-01-23,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Suizhou,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Xiangyang,2020-01-28,2020-03-25,City,https://www.thepaper.cn/newsDetail_forward_5671283,2020-02-04,True
China,Huangshi,2020-01-24,2020-03-13,City,https://news.sina.com.cn/c/2020-03-13/doc-iimxyqwa0259279.shtml,2020-03-14,True
China,Yichang,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Jingmen,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Xianning,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Shiyan,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Xiantao,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Tianmen,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Enshi,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Qianjiang,2020-01-24,2020-03-13,City,,2020-04-23,True
China,Shennongjia,2020-01-27,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
