Country,Place,Start date,End date,Level,Confirmed,update,url
United States,Virginia,2020-03-24,2020-05-08,2020-05-08,False,2020-04-17,https://www.dailymail.co.uk/news/article-8225777/Washington-DC-extends-lockdown-three-weeks-16.html
United States,Kentucky,2020-03-23,2020-05-01,State,False,2020-04-14,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html
United States,Georgia,2020-04-03,2020-04-30,2020-04-30,False,2020-04-17,https://www.dailymail.co.uk/news/article-8225777/Washington-DC-extends-lockdown-three-weeks-16.html
United States,Oklahoma,2020-03-25,2020-04-30,State,False,2020-04-04,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html
United States,"Clark County,NV",,,,,2021-04-17,
United Arab Emirates,United Arab Emirates,2020-03-22,2020-04-24,National,False,2020-04-17,https://www.thenational.ae/uae/transport/coronavirus-dubai-to-extend-24-hour-stay-home-order-for-another-week-1.1007384
Lebanon,Lebanon,2020-03-22,2020-04-26,National,False,2020-04-04,http://www.dailystar.com.lb/News/Lebanon-News/2020/Apr-09/504127-cabinet-debates-extending-lockdown-to-april-26.ashx
Canada,Quebec,2020-03-13,2020-05-04,Province,False,2020-04-04,https://globalnews.ca/news/6780602/quebec-april-5-quebec/
El Salvador,El Salvador,2020-03-21,2020-04-21,National,False,2020-04-14,https://www.france24.com/es/20200407-el-salvador-extender%C3%A1-por-15-d%C3%ADas-la-cuarentena-por-el-coronavirus
Mexico,Mexico,2020-03-21,2020-04-30,National,False,2020-04-04,https://mx.usembassy.gov/covid-19-information/
Puerto Rico,Puerto Rico,2020-03-15,2020-04-12,National,False,2020-04-04,https://apnews.com/55aea72497c17c976c7a9ab83c790133
Georgia,Georgia,2020-03-31,2020-04-13,National,False,2020-04-04,https://www.bizjournals.com/atlanta/news/2020/04/02/here-are-the-details-of-georgias-10-day-statewide.html
Ecuador,Ecuador,,,National,False,2020-04-04,
Portugal,Portugal,2020-03-19,2020-05-02,National,False,2020-04-17,https://www.rte.ie/news/2020/0416/1130864-greece-migrants-coronavirus/
Germany,Germany,2020-03-23,2020-04-20,National,False,2020-04-04,https://www.dw.com/en/germany-wont-lift-coronavirus-restrictions-before-april-20-chancellory/a-52947201
Northern Cyprus,Northern Cyprus,,,,,2021-04-17,
Dominican Republic,Dominican Republic,,,,,2021-04-17,
Kuwait,Kuwait,,,,,2021-04-17,
Monaco,Monaco,2020-03-14,2020-05-03,National,False,2020-04-17,https://lagazettedemonaco.com/en/coronavirus-le-confinement-est-prolonge-jusquau-3-mai-inclus/
Mauritius,Mauritius,2020-03-24,2020-04-15,National,False,2020-04-04,https://ionnews.mu/video-covid-19-lockdown-renforce-supermarches-et-boulangeries-fermes-jusquau-31-mars-24032020/
Albania,Albania,2020-03-10,,National,False,2020-04-04,https://www.tiranatimes.com/?p=144535
Bulgaria,Bulgaria,2020-03-13,2020-05-13,National,False,2020-04-04,https://www.segabg.com/hot/category-bulgaria/gerb-udulzhi-izvunrednoto-polozhenie-podkrepata-na-dps
Tunisia,Tunisia,2020-03-22,2020-04-19,National,False,2020-04-04,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
Ukraine,Ukraine,2020-03-30,2020-04-24,National,False,2020-04-04,https://www.kyivpost.com/ukraine-politics/ukraine-to-intensify-quarantine-measures-until-april-24.html
Serbia,Serbia,,,,,2021-04-17,
Senegal,Senegal,2020-03-30,,National,False,2020-04-04,https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/
Sierra Leone,Sierra Leone,2020-04-04,2020-04-10,National,False,2020-04-04,http://www.rfi.fr/en/international/20200406-sierra-leone-begins-72-hour-lockdown-after-6th-coronavirus-case-reported-covid-19
Greece,Greece,2020-03-23,2020-04-27,National,False,2020-04-06,https://www.brusselstimes.com/all-news/104861/coronavirus-greece-extends-lockdown-to-27-april/
Nepal,Nepal,2020-03-24,2020-04-07,National,False,2020-04-06,https://myrepublica.nagariknetwork.com/news/govt-mulls-extending-lockdown-by-at-least-one-week/
Switzerland,Switzerland,2020-03-17,2020-04-19,National,False,2020-04-06,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html
San Marino,San Marino,,,National,False,2020-04-07,
Nepal,Nepal,2020-03-24,2020-04-27,National,False,2020-04-17,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/nepal-extends-coronavirus-lockdown-until-april-27/1804541
Denmark,Denmark,2020-03-13,2020-05-10,National,True,2020-04-20,https://www.theguardian.com/world/2020/apr/14/eu-countries-coronavirus-lockdown-italy-spain
New Zealand,New Zealand,2020-03-26,2020-04-22,National,False,2020-04-07,https://www.newshub.co.nz/home/politics/2020/04/coronavirus-government-extends-new-zealand-s-state-of-national-emergency-during-covid-19-crisis.html
Samoa,Samoa,,,,,2021-04-17,
